Country,    Region, Residence, Ethnicity,   SocDem, Version, Ref-ID,   Year1,   Year2, TypeLT,   Sex,   Age, AgeInt,              m(x),         q(x),        l(x),        d(x),         L(x),         T(x),       e(x),   e(x)Orig
    GBR,      0000,      0000,      0000,     0000,       1,1883.01,    2013,    2015,      1,     1,     0,      1,           0.00431,      0.00429,      100000,         429,        99598,      7909014,       79.09,       79.09
    GBR,      0000,      0000,      0000,     0000,       1,1883.01,    2013,    2015,      1,     1,     1,      1,           0.00032,      0.00032,       99571,          32,        99555,      7809415,       78.43,       78.43
    GBR,      0000,      0000,      0000,     0000,       1,1883.01,    2013,    2015,      1,     1,     2,      1,           0.00017,      0.00017,       99539,          17,        99531,      7709860,       77.46,       77.46
    GBR,      0000,      0000,      0000,     0000,       1,1883.01,    2013,    2015,      1,     1,     3,      1,           0.00012,      0.00012,       99522,          12,        99516,      7610329,       76.47,       76.47
    GBR,      0000,      0000,      0000,     0000,       1,1883.01,    2013,    2015,      1,     1,     4,      1,           0.00010,      0.00010,       99510,          10,        99505,      7510813,       75.48,       75.48
    GBR,      0000,      0000,      0000,     0000,       1,1883.01,    2013,    2015,      1,     1,     5,      1,           0.00009,      0.00009,       99500,           9,        99496,      7411308,       74.49,       74.49
    GBR,      0000,      0000,      0000,     0000,       1,1883.01,    2013,    2015,      1,     1,     6,      1,           0.00009,      0.00009,       99492,           9,        99487,      7311812,       73.49,       73.50
    GBR,      0000,      0000,      0000,     0000,       1,1883.01,    2013,    2015,      1,     1,     7,      1,           0.00010,      0.00010,       99483,          10,        99478,      7212325,       72.50,       72.50
    GBR,      0000,      0000,      0000,     0000,       1,1883.01,    2013,    2015,      1,     1,     8,      1,           0.00007,      0.00007,       99473,           7,        99469,      7112847,       71.51,       71.51
    GBR,      0000,      0000,      0000,     0000,       1,1883.01,    2013,    2015,      1,     1,     9,      1,           0.00009,      0.00009,       99466,           9,        99462,      7013377,       70.51,       70.51
    GBR,      0000,      0000,      0000,     0000,       1,1883.01,    2013,    2015,      1,     1,    10,      1,           0.00010,      0.00010,       99457,          10,        99452,      6913916,       69.52,       69.52
    GBR,      0000,      0000,      0000,     0000,       1,1883.01,    2013,    2015,      1,     1,    11,      1,           0.00009,      0.00009,       99448,           9,        99443,      6814464,       68.52,       68.53
    GBR,      0000,      0000,      0000,     0000,       1,1883.01,    2013,    2015,      1,     1,    12,      1,           0.00010,      0.00010,       99438,          10,        99433,      6715021,       67.53,       67.53
    GBR,      0000,      0000,      0000,     0000,       1,1883.01,    2013,    2015,      1,     1,    13,      1,           0.00012,      0.00012,       99428,          12,        99422,      6615588,       66.54,       66.54
    GBR,      0000,      0000,      0000,     0000,       1,1883.01,    2013,    2015,      1,     1,    14,      1,           0.00012,      0.00012,       99417,          12,        99411,      6516165,       65.54,       65.55
    GBR,      0000,      0000,      0000,     0000,       1,1883.01,    2013,    2015,      1,     1,    15,      1,           0.00016,      0.00016,       99405,          16,        99397,      6416754,       64.55,       64.56
    GBR,      0000,      0000,      0000,     0000,       1,1883.01,    2013,    2015,      1,     1,    16,      1,           0.00021,      0.00021,       99388,          21,        99378,      6317358,       63.56,       63.57
    GBR,      0000,      0000,      0000,     0000,       1,1883.01,    2013,    2015,      1,     1,    17,      1,           0.00029,      0.00029,       99368,          29,        99353,      6217980,       62.58,       62.58
    GBR,      0000,      0000,      0000,     0000,       1,1883.01,    2013,    2015,      1,     1,    18,      1,           0.00042,      0.00042,       99338,          41,        99318,      6118627,       61.59,       61.60
    GBR,      0000,      0000,      0000,     0000,       1,1883.01,    2013,    2015,      1,     1,    19,      1,           0.00048,      0.00048,       99297,          47,        99273,      6019309,       60.62,       60.62
    GBR,      0000,      0000,      0000,     0000,       1,1883.01,    2013,    2015,      1,     1,    20,      1,           0.00046,      0.00046,       99250,          46,        99227,      5920036,       59.65,       59.65
    GBR,      0000,      0000,      0000,     0000,       1,1883.01,    2013,    2015,      1,     1,    21,      1,           0.00049,      0.00049,       99204,          49,        99180,      5820809,       58.68,       58.68
    GBR,      0000,      0000,      0000,     0000,       1,1883.01,    2013,    2015,      1,     1,    22,      1,           0.00047,      0.00047,       99155,          47,        99132,      5721629,       57.70,       57.71
